label	accession	organism	protein	clade	source	note	status
PsrAPhsASrrA_Wells_001	AcidicryptPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=AcidicryptPsrA	OK
PsrAPhsASrrA_Wells_002	BacilpersPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=BacilpersPsrA	OK
PsrAPhsASrrA_Wells_003	CaldinitroPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CaldinitroPsrA	OK
PsrAPhsASrrA_Wells_004	ChlorobchlorPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=ChlorobchlorPsrA	OK
PsrAPhsASrrA_Wells_005	CosenmyxoPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=CosenmyxoPsrA	OK
PsrAPhsASrrA_Wells_006	DesulfitochloPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfitochloPsrA	OK
PsrAPhsASrrA_Wells_007	DesulfomtiedPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfomtiedPsrA	OK
PsrAPhsASrrA_Wells_008	DesulfoyounPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=DesulfoyounPsrA	OK
PsrAPhsASrrA_Wells_009	EdwardpiscPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=EdwardpiscPsrA	OK
PsrAPhsASrrA_Wells_010	EschercoliPsrA	Wells_et_al_reference	PsrAPhsASrrA	PsrAPhsASrrA	Wells_Dryad_DMSORcompwoutMop.fasta	Selected from DMSORcompwoutMop.fasta; original_header=EschercoliPsrA	OK
